transaction_date,volume,,,
1/17/15,3088.2,,,
1/18/15,2260.48,,,
1/19/15,8603.49,,,
1/20/15,8276.26,,,
1/21/15,8508.45,,,
1/22/15,8328.33,,,
1/23/15,7971.72,,,
1/24/15,2994.3,,,
1/25/15,1733.21,,,
1/26/15,9838.99,,,
1/27/15,8642.57,,,
1/28/15,9323.75,,,
1/29/15,8936.69,,,
1/30/15,8304.16,,,
1/31/15,2722.43,,,
2/1/15,2279.73,,,
2/2/15,8692.21,,,
2/3/15,9606.13,,,
2/4/15,9937.28,,,
2/5/15,8373.9,,,
2/6/15,8081.86,,,
2/7/15,2690.57,,,
2/8/15,2207.97,,,
2/9/15,8808.97,,,
2/10/15,9783.06,,,
2/11/15,10154.87,,,
2/12/15,9505.03,,,
2/13/15,7831.55,,,
2/14/15,2757.21,,,
2/15/15,2031.82,,,
2/16/15,9061.47,,,
2/17/15,8370.66,,,
2/18/15,9309.04,,,
2/19/15,9526.16,,,
2/20/15,7286.72,,,
2/21/15,2551.68,,,
2/22/15,1912.99,,,
2/23/15,8706.56,,,
2/24/15,8999.06,,,
2/25/15,8145.67,,,
2/26/15,10026.07,,,
2/27/15,8253.32,,,
2/28/15,2813.71,,,
3/1/15,2208.56,,,
3/2/15,8513.44,,,
3/3/15,9193.7,,,
3/4/15,8878.82,,,
3/5/15,9633.23,,,
3/6/15,8876.88,,,
3/7/15,3058.71,,,
3/8/15,2344.8,,,
3/9/15,9251.73,,,
3/10/15,8481.14,,,
3/11/15,9340.25,,,
3/12/15,8728.13,,,
3/13/15,8246.09,,,
3/14/15,3281.09,,,
3/15/15,1897.14,,,
3/16/15,8509.32,,,
3/17/15,8232.69,,,
3/18/15,9184.61,,,
3/19/15,8592.1,,,
3/20/15,7982.64,,,
3/21/15,2809.45,,,
3/22/15,2088.21,,,
3/23/15,8043.44,,,
3/24/15,8364.05,,,
3/25/15,9270.18,,,
3/26/15,9643.75,,,
3/27/15,8331.16,,,
3/28/15,2854.3,,,
3/29/15,1686.52,,,
3/30/15,8877.15,,,
3/31/15,8933.28,,,
4/1/15,11289.07,,,
4/2/15,9427.14,,,
4/3/15,4022.84,,,
4/4/15,1592.79,,,
